Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Eccentricity,Nucleus Compactness,Nucleus Texture Variance
control,0.01756279,12284,0.406108366,1.139183692,0.301412805
control,0.011819037,10034,0.775967931,1.388850339,0.047286983
control,0.013385153,14114,0.720772252,1.270291419,0.259797977
control,0.01044323,16211,0.842127494,1.509098329,0.175017929
control,0.017585244,10821,0.781965104,1.336474737,0.415236316
control,0.012235216,15716,0.632672593,1.198225897,0.092455083
control,0.018059752,11622,0.786470519,1.267998258,0.519936749
control,0.016569559,14336,0.663246412,1.233963396,0.198732673
control,0.015792188,13730,0.720932525,1.366077937,0.183080357
control,0.016734054,9240,0.508255945,1.417478115,0.323734471
control,0.018316654,19541,0.708303493,2.053979606,0.65121302
control,0.011033741,21670,0.587209842,1.243078277,0.147416393
control,0.013291963,14116,0.775245931,1.227439763,0.249770186
control,0.013058736,13574,0.762610293,1.355562408,0.233162567
control,0.015705723,13173,0.474299584,1.215401871,0.240736043
control,0.012722705,13463,0.889815672,1.508518566,0.317139136
control,0.015487711,15520,0.542550202,1.159738229,0.35938213
control,0.012960809,14249,0.816074178,1.266078266,0.207529483
control,0.010708173,16468,0.766932366,1.230190107,0.137224133
control,0.013722152,24242,0.749814165,1.719396792,0.255537157
control,0.013928529,14132,0.682026225,1.219901126,0.266596134
control,0.013253187,14046,0.638354902,1.145973356,0.353539237
control,0.013943098,11489,0.680398816,1.231245863,0.275932027
control,0.013241268,12838,0.707617538,1.196477707,0.262545409
control,0.013414709,14761,0.418358961,1.153559386,0.25395897
control,0.014506933,13780,0.454015106,1.145126183,0.224832801
control,0.013533033,10447,0.547126764,1.140350284,0.247185477
control,0.014054334,9844,0.804545331,1.255481306,0.249254777
control,0.012915186,9261,0.754540843,1.220102405,0.23199329
control,0.015320067,10414,0.704932747,1.299178557,0.244570929
control,0.01226806,13862,0.599045553,1.160361815,0.163035455
control,0.012919224,11767,0.851988089,1.366952959,0.195924277
control,0.013021849,10375,0.558058752,1.13988542,0.19982346
control,0.012879408,12825,0.552536626,1.357377348,0.164143252
control,0.015583099,23267,0.865710908,2.226104564,0.375246573
control,0.013002011,10812,0.572431441,1.156711094,0.218093511
control,0.012081763,8958,0.701097662,1.205861469,0.096534879
control,0.014858142,9258,0.674006576,1.361498159,0.144068284
control,0.015920117,12218,0.836333486,1.296333764,0.198695165
control,0.012492821,9392,0.750965601,1.250893496,0.170545107
control,0.012891283,9818,0.186683918,1.23121315,0.201701979
control,0.014434914,9344,0.59730265,1.122941845,0.256023935
control,0.014454959,18741,0.487741771,1.171627693,0.366836963
control,0.014345251,12070,0.763730638,1.75068992,0.281168082
control,0.013282923,13080,0.621531388,1.388504996,0.238527623
control,0.01261591,9434,0.498913254,1.120291307,0.181378089
control,0.012739107,16040,0.782981994,1.807421828,0.341643305
control,0.014929044,9202,0.618217816,1.220954689,0.157600146
control,0.013111367,10986,0.686239244,1.18220163,0.248529406
control,0.0129708,12351,0.614535015,1.536980377,0.37825275
control,0.014308458,11960,0.801708706,1.353721881,0.253241508
control,0.015186907,14682,0.579017064,1.566061172,1.898776296
control,0.016248221,17457,0.878414091,1.982135022,0.359718124
control,0.015544299,15786,0.602871466,1.206619542,0.211928709
control,0.015714631,16130,0.5195227,1.317657678,0.333616372
control,0.015781263,14821,0.632143498,1.311208705,0.167291671
control,0.017749487,17839,0.488535004,1.121862512,0.427200498
control,0.015379334,8476,0.818286938,1.555354073,0.486867096
control,0.016160765,8104,0.593595652,1.685258069,0.628529737
control,0.018633812,16656,0.76155468,1.721686294,5.356653717
control,0.018907653,9928,0.731681079,2.161435118,1.523656554
control,0.01430914,17504,0.847013929,1.782119553,0.227985611
control,0.013581674,8095,0.550728091,1.280242301,0.247850419
control,0.012170974,11467,0.205990049,1.117600148,0.223636848
control,0.020564981,17564,0.813564641,1.758318855,3.049988548
control,0.014790233,12183,0.618475581,1.165838227,0.158427217
control,0.017966254,15909,0.829615682,1.380192004,0.311163905
control,0.014783298,17458,0.633760176,1.257731389,0.217358168
control,0.018997502,21047,0.523996867,1.231296017,0.813482864
control,0.019523145,24388,0.827269714,1.528493899,0.944260816
control,0.015467935,10691,0.848507383,1.301730202,0.164547883
control,0.015426094,8378,0.759182129,1.229262873,0.104324591
control,0.013235599,12204,0.567237501,1.227000625,0.232680965
control,0.01719826,9185,0.569017134,1.313747923,0.496227316
control,0.017889713,17480,0.821147369,2.473819527,0.688218631
control,0.01356487,12578,0.548123174,1.505404494,0.246290624
control,0.014530657,12852,0.776774005,1.33999946,0.318320388
control,0.016026254,12483,0.618349541,1.151790829,0.232891995
control,0.015059001,8912,0.798674676,1.255132186,0.190781306
