Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Roundness,Nucleus Texture Variance,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
control,0.059560699,19646,0.612676848,11.36195427,11.47721841,11.28258851,11.41944884,11.26856131
control,0.056633777,24898,0.664901533,9.765548054,9.796455299,9.740754955,9.777843405,9.747138557
control,0.050756206,13682,0.670887891,3.093634827,3.115297593,3.099086766,3.101919192,3.058235756
control,0.059631038,19053,0.812544408,20.28153699,20.38097209,20.29365816,20.29717516,20.15434254
control,0.03413176,17179,0.572967702,1.359836342,1.363467378,1.371102895,1.381232414,1.323542679
control,0.052360829,25389,0.765358524,5.028574982,5.03412315,5.004865288,5.042772374,5.032539115
control,0.06116874,22846,0.334934489,5.072022878,5.103381748,5.046153732,5.120806241,5.017749792
control,0.062832707,24808,0.726243424,11.02724234,11.16214562,11.0164281,11.00972185,10.9206738
control,0.034514916,13043,0.822407696,1.692231787,1.679928453,1.694853754,1.706423442,1.687721499
control,0.044973568,12209,0.733354089,2.775312372,2.822067735,2.771248687,2.763214819,2.744718247
control,0.04644425,18331,0.901043722,3.5907817,3.641789995,3.578929572,3.628811183,3.513596051
control,0.036990099,12497,0.862904971,1.774943918,1.776239746,1.746453029,1.772547558,1.80453534
control,0.063648541,17219,0.773049942,14.65167077,14.87574874,14.67829135,14.72042007,14.33222292
control,0.026071511,21814,0.667344872,0.501742652,0.501889112,0.49966537,0.503008399,0.502407727
control,0.057855601,15054,0.839250062,12.10754981,12.13622179,12.08021689,12.32762408,11.88613649
control,0.030717225,18597,0.454686765,0.680976258,0.687626938,0.677507128,0.684921869,0.673849096
control,0.043223088,15076,0.668765654,1.422904066,1.428614974,1.401061041,1.432143939,1.429796311
control,0.055413667,23946,0.904258432,19.35508047,19.33356885,19.3314443,19.35626223,19.39904652
control,0.03042366,13908,0.514909347,0.487373865,0.487892127,0.490974351,0.485902251,0.484726731
control,0.033139663,22656,0.846046336,1.254895275,1.261005841,1.262161748,1.253463496,1.242950015
control,0.025559269,14577,0.490318448,0.403870168,0.403370086,0.404273486,0.403209806,0.404627293
control,0.044939616,12709,0.615504293,7.874213021,7.919150366,7.79293143,8.081189726,7.703580564
control,0.029894728,20841,0.533422963,0.839388754,0.844066847,0.831854443,0.848680503,0.832953225
control,0.031471345,11391,0.625394712,1.152264514,1.154204409,1.15258627,1.156623571,1.145643807
control,0.040103914,14260,0.716254455,4.422376795,4.449944999,4.435744528,4.496667129,4.307150523
control,0.037011188,24166,0.381651721,3.687087758,3.744095355,3.614002837,3.705977011,3.684275827
control,0.038998745,13225,0.619190068,2.849190496,2.865363868,2.793936303,2.886789215,2.8506726
control,0.027042068,18060,0.636217134,0.619863741,0.620412632,0.617309948,0.62216761,0.619564772
control,0.029565437,14309,0.613879232,1.518586454,1.53375613,1.49661841,1.518291454,1.525679823
control,0.046360895,12770,0.683622002,3.91017652,3.929386333,3.903861675,3.950673187,3.856784884
control,0.036781248,17232,0.827919572,3.223067416,3.229885093,3.179164031,3.254033422,3.229187118
